question_id,original_answer,after_followup,changed,ground_truth,original_correct,followup_correct,status_summary
0,\dfrac{1}{2^{99}},2^{99,True,2^{99},False,False,❌ Wrong → Wrong (🔁 changed)
0,2^{99},\dfrac{1,True,2^{99},True,False,❌ Correct → Wrong (🔁 changed)
1,\dfrac{1}{9},\dfrac{1,True,\frac{1}{9},False,False,❌ Wrong → Wrong (🔁 changed)
2,\dfrac{3\sqrt{13}}{4},\dfrac{\sqrt{13,True,\frac{\sqrt{13}}{2},False,False,❌ Wrong → Wrong (🔁 changed)
2,\dfrac{11\sqrt{13}}{28},\dfrac{\sqrt{13,True,\frac{\sqrt{13}}{2},False,False,❌ Wrong → Wrong (🔁 changed)
2,\dfrac{\sqrt{13}}{2},\dfrac{\sqrt{13,True,\frac{\sqrt{13}}{2},False,False,❌ Wrong → Wrong (🔁 changed)
3,\dfrac{1}{9},\dfrac{1,True,\frac{1}{9},False,False,❌ Wrong → Wrong (🔁 changed)
4,240,240,False,240,True,True,✅ Correct → Correct (no change)
5,72,72,False,72,True,True,✅ Correct → Correct (no change)
5,73,72,True,72,False,True,✅ Wrong → Correct (🔁 changed)
5,64,72,True,72,False,True,✅ Wrong → Correct (🔁 changed)
6,924,924,False,924,True,True,✅ Correct → Correct (no change)
7,20,20,False,20,True,True,✅ Correct → Correct (no change)
8,173,173,False,173,True,True,✅ Correct → Correct (no change)
9,38,100,True,100,False,True,✅ Wrong → Correct (🔁 changed)
9,100,100,False,100,True,True,✅ Correct → Correct (no change)
10,6,3+2\sqrt{2,True,3+2\sqrt{2},False,False,❌ Wrong → Wrong (🔁 changed)
10,\sqrt{14 + \sqrt{193}},3+2\sqrt{2,True,3+2\sqrt{2},False,False,❌ Wrong → Wrong (🔁 changed)
10,3+2\sqrt{2},3+2\sqrt{2,True,3+2\sqrt{2},True,False,❌ Correct → Wrong (🔁 changed)
11,125,125,False,125,True,True,✅ Correct → Correct (no change)
11,62,34,True,125,False,False,❌ Wrong → Wrong (🔁 changed)
11,90,30,True,125,False,False,❌ Wrong → Wrong (🔁 changed)
11,30,125,True,125,False,True,✅ Wrong → Correct (🔁 changed)
11,9,54,True,125,False,False,❌ Wrong → Wrong (🔁 changed)
11,89,54,True,125,False,False,❌ Wrong → Wrong (🔁 changed)
11,34,125,True,125,False,True,✅ Wrong → Correct (🔁 changed)
11,1024,54,True,125,False,False,❌ Wrong → Wrong (🔁 changed)
11,100,54,True,125,False,False,❌ Wrong → Wrong (🔁 changed)
11,114,114,False,125,False,False,❌ Wrong → Wrong (no change)
11,54,30,True,125,False,False,❌ Wrong → Wrong (🔁 changed)
12,\dfrac{1}{2},\dfrac{1,True,\frac{1}{3},False,False,❌ Wrong → Wrong (🔁 changed)
12,\dfrac{2}{5},\dfrac{1,True,\frac{1}{3},False,False,❌ Wrong → Wrong (🔁 changed)
12,\dfrac{2\left(3 + \sqrt{37}\right)}{21},\dfrac{2\left(3 + \sqrt{37,True,\frac{1}{3},False,False,❌ Wrong → Wrong (🔁 changed)
12,0,0,False,\frac{1}{3},False,False,❌ Wrong → Wrong (no change)
12,\dfrac{1}{5},\dfrac{2\left(3 + \sqrt{37,True,\frac{1}{3},False,False,❌ Wrong → Wrong (🔁 changed)
12,\dfrac{1}{3},\dfrac{1,True,\frac{1}{3},False,False,❌ Wrong → Wrong (🔁 changed)
12,\dfrac{2}{25},\dfrac{2,True,\frac{1}{3},False,False,❌ Wrong → Wrong (🔁 changed)
13,7,7,False,7,True,True,✅ Correct → Correct (no change)
14,4608,4609,True,4529,False,False,❌ Wrong → Wrong (🔁 changed)
14,4529,4529,False,4529,True,True,✅ Correct → Correct (no change)
14,41044,4561,True,4529,False,False,❌ Wrong → Wrong (🔁 changed)
14,97,4561,True,4529,False,False,❌ Wrong → Wrong (🔁 changed)
14,2399,4529,True,4529,False,True,✅ Wrong → Correct (🔁 changed)
14,237,4561,True,4529,False,False,❌ Wrong → Wrong (🔁 changed)
14,4481,4529,True,4529,False,True,✅ Wrong → Correct (🔁 changed)
14,4609,4561,True,4529,False,False,❌ Wrong → Wrong (🔁 changed)
14,7872,4609,True,4529,False,False,❌ Wrong → Wrong (🔁 changed)
14,4561,4561,False,4529,False,False,❌ Wrong → Wrong (no change)
14,4656,4529,True,4529,False,True,✅ Wrong → Correct (🔁 changed)
14,1633,4481,True,4529,False,False,❌ Wrong → Wrong (🔁 changed)
14,2993,4481,True,4529,False,False,❌ Wrong → Wrong (🔁 changed)
15,1296,1296,False,1296,True,True,✅ Correct → Correct (no change)
16,x=\sqrt{2\left(\sqrt{2}+1\right)},1+\sqrt{3,True,1+\sqrt{3},False,False,❌ Wrong → Wrong (🔁 changed)
16,2 + \sqrt{2},1 + \sqrt{3,True,1+\sqrt{3},False,False,❌ Wrong → Wrong (🔁 changed)
16,2\sqrt{2},1+\sqrt{3,True,1+\sqrt{3},False,False,❌ Wrong → Wrong (🔁 changed)
16,1+\sqrt{3},1+\sqrt{3,True,1+\sqrt{3},True,False,❌ Correct → Wrong (🔁 changed)
16,2+\sqrt{2},1+\sqrt{3,True,1+\sqrt{3},False,False,❌ Wrong → Wrong (🔁 changed)
16,\sqrt{6},\sqrt{6,True,1+\sqrt{3},False,False,❌ Wrong → Wrong (🔁 changed)
16,3,1+\sqrt{3,True,1+\sqrt{3},False,False,❌ Wrong → Wrong (🔁 changed)
16,2,1+\sqrt{3,True,1+\sqrt{3},False,False,❌ Wrong → Wrong (🔁 changed)
16,1 + \sqrt{3},1+\sqrt{3,True,1+\sqrt{3},False,False,❌ Wrong → Wrong (🔁 changed)
17,20\pi,20\pi,False,20\pi,True,True,✅ Correct → Correct (no change)
18,12,12,False,12,True,True,✅ Correct → Correct (no change)
19,12,12,False,12,True,True,✅ Correct → Correct (no change)
19,3,12,True,12,False,True,✅ Wrong → Correct (🔁 changed)
20,160,160,False,160,True,True,✅ Correct → Correct (no change)
20,250,250,False,160,False,False,❌ Wrong → Wrong (no change)
21,72,72,False,72,True,True,✅ Correct → Correct (no change)
21,56,72,True,72,False,True,✅ Wrong → Correct (🔁 changed)
21,104,72,True,72,False,True,✅ Wrong → Correct (🔁 changed)
21,68,72,True,72,False,True,✅ Wrong → Correct (🔁 changed)
21,70,72,True,72,False,True,✅ Wrong → Correct (🔁 changed)
21,40,72,True,72,False,True,✅ Wrong → Correct (🔁 changed)
21,8,72,True,72,False,True,✅ Wrong → Correct (🔁 changed)
21,48,72,True,72,False,True,✅ Wrong → Correct (🔁 changed)
22,"2,\ 3,\ \dfrac{3 + i\sqrt{3}}{2},\ \dfrac{3 - i\sqrt{3}}{2}","2,\ 3,\ \dfrac{3 + i\sqrt{3",True,"2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False,False,❌ Wrong → Wrong (🔁 changed)
22,"2,\ 3,\ \dfrac{3\ +\ i\sqrt{3}}{2},\ \dfrac{3\ -\ i\sqrt{3}}{2}",X,True,"2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False,False,❌ Wrong → Wrong (🔁 changed)
22,"a=2,\ a=3,\ a=\dfrac{3+i\sqrt{3}}{2},\ a=\dfrac{3-i\sqrt{3}}{2}","2,\ 3,\ \dfrac{3+i\sqrt{3",True,"2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False,False,❌ Wrong → Wrong (🔁 changed)
23,38,89,True,89,False,True,✅ Wrong → Correct (🔁 changed)
23,89,89,False,89,True,True,✅ Correct → Correct (no change)
23,71,89,True,89,False,True,✅ Wrong → Correct (🔁 changed)
23,96,89,True,89,False,True,✅ Wrong → Correct (🔁 changed)
23,10,89,True,89,False,True,✅ Wrong → Correct (🔁 changed)
23,144,89,True,89,False,True,✅ Wrong → Correct (🔁 changed)
23,55,89,True,89,False,True,✅ Wrong → Correct (🔁 changed)
24,\sqrt{11},\dfrac{1 + \sqrt{31,True,\frac{1+\sqrt{31}}{2},False,False,❌ Wrong → Wrong (🔁 changed)
24,\dfrac{1 + \sqrt{31}}{2},\dfrac{1 + \sqrt{31,True,\frac{1+\sqrt{31}}{2},False,False,❌ Wrong → Wrong (🔁 changed)
24,\dfrac{1+\sqrt{31}}{2},\dfrac{1+\sqrt{31,True,\frac{1+\sqrt{31}}{2},False,False,❌ Wrong → Wrong (🔁 changed)
24,\dfrac{\sqrt{31} + 1}{2},\dfrac{1 + \sqrt{31,True,\frac{1+\sqrt{31}}{2},False,False,❌ Wrong → Wrong (🔁 changed)
24,\sqrt{10},\dfrac{1+\sqrt{31,True,\frac{1+\sqrt{31}}{2},False,False,❌ Wrong → Wrong (🔁 changed)
24,R = \dfrac{1 + \sqrt{31}}{2},R = \dfrac{1 + \sqrt{31,True,\frac{1+\sqrt{31}}{2},False,False,❌ Wrong → Wrong (🔁 changed)
25,337,337,False,337,True,True,✅ Correct → Correct (no change)
26,11,18,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,21,\dfrac{737,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,\dfrac{62183}{2021},33,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,33,33,False,\frac{737}{39},False,False,❌ Wrong → Wrong (no change)
26,14,\dfrac{1354,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,\dfrac{165}{4},\dfrac{737,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,24,\dfrac{193,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,\dfrac{1289}{65},\dfrac{737,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,\dfrac{1354}{65},\dfrac{1354,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,9,\dfrac{1354,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,18,\dfrac{737,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,12,12,False,\frac{737}{39},False,False,❌ Wrong → Wrong (no change)
26,15,\dfrac{193,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,\dfrac{99}{4},\dfrac{1354,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,\dfrac{737}{39},\dfrac{737,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,\dfrac{193}{8},\dfrac{1354,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,45,15,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
26,30,\dfrac{737,True,\frac{737}{39},False,False,❌ Wrong → Wrong (🔁 changed)
27,8,8,False,5\sqrt{2},False,False,❌ Wrong → Wrong (no change)
27,5\sqrt{2},5\sqrt{2,True,5\sqrt{2},True,False,❌ Correct → Wrong (🔁 changed)
27,\dfrac{30\sqrt{7}}{7},5\sqrt{2,True,5\sqrt{2},False,False,❌ Wrong → Wrong (🔁 changed)
27,4,5\sqrt{53,True,5\sqrt{2},False,False,❌ Wrong → Wrong (🔁 changed)
27,13,13,False,5\sqrt{2},False,False,❌ Wrong → Wrong (no change)
27,\dfrac{45\sqrt{37}}{37},5\sqrt{2,True,5\sqrt{2},False,False,❌ Wrong → Wrong (🔁 changed)
27,12,12,False,5\sqrt{2},False,False,❌ Wrong → Wrong (no change)
28,-\dfrac{2431}{2},-\dfrac{2431,True,-\frac{2431}{50},False,False,❌ Wrong → Wrong (🔁 changed)
28,-\dfrac{2431}{50},-\dfrac{2431,True,-\frac{2431}{50},False,False,❌ Wrong → Wrong (🔁 changed)
28,-\dfrac{2431}{450},-\dfrac{2431,True,-\frac{2431}{50},False,False,❌ Wrong → Wrong (🔁 changed)
28,-\dfrac{2431}{25},-\dfrac{2431,True,-\frac{2431}{50},False,False,❌ Wrong → Wrong (🔁 changed)
28,-\dfrac{2431}{100},-\dfrac{2431,True,-\frac{2431}{50},False,False,❌ Wrong → Wrong (🔁 changed)
