question_id,original_answer,after_followup,changed,ground_truth,original_correct,followup_correct,status_summary
0,70,70,False,70,True,True,✅ Correct → Correct (no change)
1,588,588,False,588,True,True,✅ Correct → Correct (no change)
2,16,16,False,16,True,True,✅ Correct → Correct (no change)
3,117,117,False,117,True,True,✅ Correct → Correct (no change)
4,279,279,False,279,True,True,✅ Correct → Correct (no change)
5,504,504,False,504,True,True,✅ Correct → Correct (no change)
6,271,821,True,821,False,True,✅ Wrong → Correct (🔁 changed)
6,821,821,False,821,True,True,✅ Correct → Correct (no change)
7,77,77,False,77,True,True,✅ Correct → Correct (no change)
7,829,77,True,77,False,True,✅ Wrong → Correct (🔁 changed)
7,317,77,True,77,False,True,✅ Wrong → Correct (🔁 changed)
8,62,62,False,62,True,True,✅ Correct → Correct (no change)
8,34,62,True,62,False,True,✅ Wrong → Correct (🔁 changed)
8,21,62,True,62,False,True,✅ Wrong → Correct (🔁 changed)
9,1680,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,70,23,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,65,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,71,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,26,74,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,100,100,False,81,False,False,❌ Wrong → Wrong (no change)
9,246,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,21,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,67,67,False,81,False,False,❌ Wrong → Wrong (no change)
9,84,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,89,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,68,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,99,99,False,81,False,False,❌ Wrong → Wrong (no change)
9,86,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,75,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,81,107,True,81,True,False,❌ Correct → Wrong (🔁 changed)
9,130,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,34,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,23,23,False,81,False,False,❌ Wrong → Wrong (no change)
9,53,53,False,81,False,False,❌ Wrong → Wrong (no change)
9,15,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,69,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,107,107,False,81,False,False,❌ Wrong → Wrong (no change)
9,73,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,66,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,58,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,13,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
9,36,53,True,81,False,False,❌ Wrong → Wrong (🔁 changed)
11,1017,510,True,510,False,True,✅ Wrong → Correct (🔁 changed)
11,172,510,True,510,False,True,✅ Wrong → Correct (🔁 changed)
11,510,510,False,510,True,True,✅ Correct → Correct (no change)
12,\dfrac{637}{3},\dfrac{637,True,204,False,False,❌ Wrong → Wrong (🔁 changed)
12,\dfrac{712}{3},187,True,204,False,False,❌ Wrong → Wrong (🔁 changed)
12,\dfrac{787}{3},\dfrac{562,True,204,False,False,❌ Wrong → Wrong (🔁 changed)
12,379,179,True,204,False,False,❌ Wrong → Wrong (🔁 changed)
12,204,204,False,204,True,True,✅ Correct → Correct (no change)
12,229,229,False,204,False,False,❌ Wrong → Wrong (no change)
